#TYPE Microsoft.Online.Administration.UserExtended
"Password","ExtensionData","AlternateEmailAddresses","AlternateMobilePhones","AlternativeSecurityIds","BlockCredential","City","CloudExchangeRecipientDisplayType","Country","Department","DirSyncProvisioningErrors","DisplayName","Errors","Fax","FirstName","ImmutableId","IndirectLicenseErrors","IsBlackberryUser","IsLicensed","LastDirSyncTime","LastName","LastPasswordChangeTimestamp","LicenseAssignmentDetails","LicenseReconciliationNeeded","Licenses","LiveId","MSExchRecipientTypeDetails","MSRtcSipDeploymentLocator","MSRtcSipPrimaryUserAddress","MobilePhone","ObjectId","Office","OverallProvisioningStatus","PasswordNeverExpires","PasswordResetNotRequiredDuringActivate","PhoneNumber","PortalSettings","PostalCode","PreferredDataLocation","PreferredLanguage","ProxyAddresses","ReleaseTrack","ServiceInformation","SignInName","SoftDeletionTimestamp","State","StreetAddress","StrongAuthenticationMethods","StrongAuthenticationPhoneAppDetails","StrongAuthenticationProofupTime","StrongAuthenticationRequirements","StrongAuthenticationUserDetails","StrongPasswordRequired","StsRefreshTokensValidFrom","Title","UsageLocation","UserLandingPageIdentifierForO365Shell","UserPrincipalName","UserThemeIdentifierForO365Shell","UserType","ValidationStatus","WhenCreated"
"Nuh43132","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker01",,,"hacker01",,,"False","True",,,"5/27/2022 9:57:13 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF2541D6",,,,,"f815e382-b6ba-4a76-b3eb-e446f5970729",,"PendingInput","False",,,,,,,,,,"hacker01@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:13 PM",,"US",,"hacker01@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Lus97773","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker02",,,"hacker02",,,"False","True",,,"5/27/2022 9:57:14 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF2541D8",,,,,"a4bce6cd-8e5f-46ba-ace9-fc028b927ef2",,"PendingInput","False",,,,,,,,,,"hacker02@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:14 PM",,"US",,"hacker02@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Xav81628","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker03",,,"hacker03",,,"False","True",,,"5/27/2022 9:57:15 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF24BD4C",,,,,"1c3f3fc9-cd15-458c-b717-888b88eed786",,"PendingInput","False",,,,,,,,,,"hacker03@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:15 PM",,"US",,"hacker03@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Suf91065","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker04",,,"hacker04",,,"False","True",,,"5/27/2022 9:57:16 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF24BD4E",,,,,"e3b1bf1d-8caf-4de7-bb33-81c1b3cae8a5",,"PendingInput","False",,,,,,,,,,"hacker04@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:16 PM",,"US",,"hacker04@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Kuj83559","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker05",,,"hacker05",,,"False","True",,,"5/27/2022 9:57:17 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF2541E2",,,,,"7930080b-6eb1-4167-9a71-ad5b78a51d9c",,"PendingInput","False",,,,,,,,,,"hacker05@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:17 PM",,"US",,"hacker05@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Haq57808","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker06",,,"hacker06",,,"False","True",,,"5/27/2022 9:57:18 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF24BD52",,,,,"af483898-7fa5-45d5-a1e1-9fd67cce1618",,"PendingInput","False",,,,,,,,,,"hacker06@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:18 PM",,"US",,"hacker06@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Juq80633","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker07",,,"hacker07",,,"False","True",,,"5/27/2022 9:57:18 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF24BD55",,,,,"cfaebd6a-c936-4b7a-af8c-3a3be0bb2272",,"PendingInput","False",,,,,,,,,,"hacker07@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:18 PM",,"US",,"hacker07@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Kav24138","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker08",,,"hacker08",,,"False","True",,,"5/27/2022 9:57:19 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF2541EA",,,,,"1c94a42c-fa90-48ac-95f4-b7ccc98d4e4b",,"PendingInput","False",,,,,,,,,,"hacker08@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:19 PM",,"US",,"hacker08@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Wol99307","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker09",,,"hacker09",,,"False","True",,,"5/27/2022 9:57:20 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF2541ED",,,,,"e3c80ec3-b88e-44af-8bee-cfdb8bf2fe5a",,"PendingInput","False",,,,,,,,,,"hacker09@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:20 PM",,"US",,"hacker09@M365x25073779.onmicrosoft.com",,"Member","Healthy",
"Tus80204","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,,,"hacker10",,,"hacker10",,,"False","True",,,"5/27/2022 9:57:21 PM","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","10032001FF2541F1",,,,,"4172a411-9c89-4769-9ca0-c7eabb8d4b08",,"PendingInput","False",,,,,,,,,,"hacker10@M365x25073779.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","5/27/2022 9:57:21 PM",,"US",,"hacker10@M365x25073779.onmicrosoft.com",,"Member","Healthy",
