UserPrincipalName,FirstName,LastName,DisplayName,UsageLocation,AccountSkuID
hacker01@M365x25073779.onmicrosoft.com,hacker01,,hacker01,US,M365x25073779:ENTERPRISEPREMIUM
hacker02@M365x25073779.onmicrosoft.com,hacker02,,hacker02,US,M365x25073779:ENTERPRISEPREMIUM
hacker03@M365x25073779.onmicrosoft.com,hacker03,,hacker03,US,M365x25073779:ENTERPRISEPREMIUM
hacker04@M365x25073779.onmicrosoft.com,hacker04,,hacker04,US,M365x25073779:ENTERPRISEPREMIUM
hacker05@M365x25073779.onmicrosoft.com,hacker05,,hacker05,US,M365x25073779:ENTERPRISEPREMIUM
hacker06@M365x25073779.onmicrosoft.com,hacker06,,hacker06,US,M365x25073779:ENTERPRISEPREMIUM
hacker07@M365x25073779.onmicrosoft.com,hacker07,,hacker07,US,M365x25073779:ENTERPRISEPREMIUM
hacker08@M365x25073779.onmicrosoft.com,hacker08,,hacker08,US,M365x25073779:ENTERPRISEPREMIUM
hacker09@M365x25073779.onmicrosoft.com,hacker09,,hacker09,US,M365x25073779:ENTERPRISEPREMIUM
hacker10@M365x25073779.onmicrosoft.com,hacker10,,hacker10,US,M365x25073779:ENTERPRISEPREMIUM
hacker11@M365x25073779.onmicrosoft.com,hacker11,,hacker11,US,M365x25073779:ENTERPRISEPREMIUM
hacker12@M365x25073779.onmicrosoft.com,hacker12,,hacker12,US,M365x25073779:ENTERPRISEPREMIUM
hacker13@M365x25073779.onmicrosoft.com,hacker13,,hacker13,US,M365x25073779:ENTERPRISEPREMIUM
hacker14@M365x25073779.onmicrosoft.com,hacker14,,hacker14,US,M365x25073779:ENTERPRISEPREMIUM
hacker15@M365x25073779.onmicrosoft.com,hacker15,,hacker15,US,M365x25073779:ENTERPRISEPREMIUM
hacker16@M365x25073779.onmicrosoft.com,hacker16,,hacker16,US,M365x25073779:ENTERPRISEPREMIUM
hacker17@M365x25073779.onmicrosoft.com,hacker17,,hacker17,US,M365x25073779:ENTERPRISEPREMIUM
hacker18@M365x25073779.onmicrosoft.com,hacker18,,hacker18,US,M365x25073779:ENTERPRISEPREMIUM
hacker19@M365x25073779.onmicrosoft.com,hacker19,,hacker19,US,M365x25073779:ENTERPRISEPREMIUM
hacker20@M365x25073779.onmicrosoft.com,hacker20,,hacker20,US,M365x25073779:ENTERPRISEPREMIUM
